filename,width,height,class,xmin,ymin,xmax,ymax
IMG_0996.jpg,3024,4032,maguary,675,706,1766,4024
IMG_0982.jpg,3024,4032,maguary,597,851,2107,3320
11.fb3802cbf5a130b36dc1c2d60449fb02.jpg,1500,1500,tonica,152,578,482,1184
IMG_0983.jpg,3024,4032,maguary,1125,1970,2261,3029
IMG_0997.jpg,3024,4032,blackprincess,720,924,1807,3751
13.1087709-agua-tonica-antarctica-350ml-lata-m.jpg,200,200,tonica,53,18,147,175
IMG_0994.jpg,3024,4032,maguary,979,729,2093,4032
IMG_0984.jpg,3024,4032,maguary,947,1411,2043,3479
IMG_0991.jpg,3024,4032,petra,552,1365,1688,4020
IMG_0985.jpg,3024,4032,maguary,475,756,1734,2929
IMG_0985.jpg,3024,4032,petra,2916,833,3024,1529
IMG_0985.jpg,3024,4032,tonica,2720,188,3002,724
IMG_0993.jpg,3024,4032,petra,470,1442,1493,3997
IMG_0987.jpg,3024,4032,petra,793,1015,2129,2901
IMG_0992.jpg,3024,4032,petra,829,1365,1984,2870
4.front_pt.4.full.jpg,1560,2080,tonica,120,53,1180,2049
3.7898377661060.jpg,1000,1000,blackprincess,334,77,699,973
20.71m-aflyanl._ac_sy445_.jpg,137,445,maguary,2,2,137,445
19.1151664893.jpg,375,375,tonica,132,95,254,291
3.lata-tonica-antarctica-14659.jpg,698,654,tonica,194,54,517,603
IMG_1009.jpg,3024,4032,tonica,629,1142,1788,3029
2.suco_concentrado_maguary_maracuja_500ml.jpg,600,800,maguary,212,123,394,667
22.maguary-suco-concentrado-de-maracuja-maguary-500ml-4un-d_nq_np_938786-mlb40831976372_022020-f.jpg,423,881,maguary,84,34,333,864
1.2215_agua_tonica_antarctica_lata_350_ml.jpg,1000,2000,tonica,40,338,973,1972
IMG_1003.jpg,3024,4032,blackprincess,420,1415,2125,3397
6.foto_large.jpg,600,600,tonica,125,27,464,586
12.d_nq_np_686116-mlb30654992275_052019-o.jpg,328,500,maguary,1,56,133,495
IMG_1015.jpg,3024,4032,tonica,693,1547,1725,3474
10.petra-cerveja-puro-malte-lata-350ml-12x-envio-rapido-d_nq_np_983281-mlb40067253720_122019-f.jpg,500,500,petra,236,1,454,500
IMG_1014.jpg,3024,4032,tonica,720,1501,1602,3461
IMG_1010.jpg,3024,4032,tonica,370,1329,1607,3242
IMG_1004.jpg,3024,4032,blackprincess,461,720,2184,3447
14.black-princess-lanca-cerveja-em-lata-capa.jpg,1200,675,blackprincess,492,45,707,631
11.8803666e-c0b8-11e7-a6aa-063e6e4e9f3a.jpg,250,250,maguary,82,1,170,250
9.foto_product.jpg,341,360,maguary,106,8,228,354
5.tonica_lt_azul.jpg,410,700,tonica,21,31,387,673
26.d_nq_np_854421-mlb25533397546_042017-o.jpg,384,384,maguary,139,21,253,344
IMG_1013.jpg,3024,4032,tonica,670,1692,1675,3601
IMG_1013.jpg,3024,4032,blackprincess,1,1038,520,2197
16.dob-x-gx0aeflhh.jpg,920,1200,tonica,309,167,882,1097
IMG_1012.jpg,3024,4032,tonica,557,1779,1893,3156
IMG_1006.jpg,3024,4032,blackprincess,443,774,1979,3538
IMG_0988.jpg,3024,4032,petra,893,1097,2020,2897
2.amb_bitter_03.jpg,1920,1080,tonica,738,201,1147,924
IMG_0989.jpg,3024,4032,petra,911,1338,1907,3038
21.maracuja1-f25a8989aa2c20388215682226983259-640-0.jpg,640,640,maguary,235,48,423,575
15.7896000555359.jpg,600,600,maguary,199,5,395,600
IMG_0998.jpg,3024,4032,blackprincess,616,988,1838,3947
17.suco-conc-maguary-maracuja-1l.jpg,900,900,maguary,301,19,596,899
